,student_id,age,gender,family_income,internet_access,study_hours_per_day,attendance_rate,assignment_delay_days,travel_time_minutes,part_time_job,scholarship,stress_index,gpa,semester_gpa,cgpa,semester,department,parental_education,dropout
1321,7734,21.0,Male,40445.0,Yes,3.37,78.0,2,34.4,No,Yes,3.6,2.74,2.47,2.52,Year 4,CS,High School,0
1322,1204,22.2,Male,59679.0,Yes,2.74,88.7,2,22.3,Yes,No,8.5,0.0,0.0,0.0,Year 1,Science,High School,1
1323,3769,22.5,Female,31806.0,Yes,3.37,75.3,2,38.0,No,No,5.7,2.56,2.61,2.53,Year 3,Engineering,Bachelor,0
1324,5358,19.0,Female,25000.0,Yes,3.79,60.8,2,23.2,No,No,4.9,1.52,1.74,1.74,Year 1,Science,Bachelor,1
1325,3853,23.9,Male,28431.0,Yes,4.7,78.5,1,25.2,No,Yes,4.7,3.9,4.0,3.94,Year 3,Arts,High School,0
1326,1927,17.0,Male,25000.0,Yes,5.12,88.0,3,31.7,Yes,No,7.2,1.26,1.24,1.24,Year 1,Arts,Master,0
1327,3115,21.9,Male,26245.0,Yes,4.6,80.9,3,35.5,Yes,No,5.7,0.73,0.98,0.93,Year 2,Engineering,PhD,1
1328,2642,20.5,Male,25000.0,Yes,5.02,76.7,2,41.9,Yes,Yes,6.6,2.09,2.1,2.1,Year 1,Engineering,Bachelor,0
1329,7640,17.0,Male,34874.0,Yes,3.84,82.9,0,21.6,Yes,No,8.0,2.31,2.72,2.69,Year 2,Business,Master,0
1330,7361,19.3,Male,35236.0,Yes,2.52,77.7,2,43.4,No,No,5.5,2.54,3.05,3.05,Year 1,Business,Master,0
1331,8183,21.0,Male,25000.0,Yes,3.22,89.0,1,16.9,Yes,No,1.3,3.16,2.92,3.02,Year 2,Business,Bachelor,0
1332,7611,21.5,Female,51212.0,No,4.34,98.5,2,5.0,Yes,No,8.2,2.85,3.3,3.3,Year 1,CS,High School,0
1333,2729,19.4,Male,50454.0,Yes,4.64,93.1,2,21.2,No,Yes,4.9,1.65,1.83,1.81,Year 2,Business,PhD,0
1334,9598,20.9,Female,25000.0,No,3.81,82.6,1,30.4,Yes,No,2.7,3.03,2.92,2.88,Year 4,Engineering,Unknown,0
1335,4986,24.6,Female,28412.0,No,4.44,81.7,0,23.3,Yes,No,3.4,3.2,2.53,2.58,Year 4,Arts,Master,0
1336,6847,21.2,Female,25000.0,Yes,3.45,64.7,1,25.3,Yes,No,3.2,1.23,0.95,1.01,Year 4,Engineering,Bachelor,0
1337,7699,22.0,Female,73163.0,Yes,1.68,78.0,3,23.0,No,Yes,5.5,1.18,1.33,1.33,Year 1,CS,High School,1
1338,4013,18.8,Female,25000.0,Yes,3.97,92.4,3,26.4,No,No,7.9,1.44,1.51,1.52,Year 2,Arts,Bachelor,0
1339,2627,24.1,Male,43946.0,No,5.93,92.9,2,22.1,Yes,No,5.1,2.52,2.27,2.29,Year 2,Science,Bachelor,0
1340,7239,18.9,Male,33689.0,Yes,3.92,72.7,1,41.0,Yes,No,7.5,1.22,1.2,1.27,Year 3,Business,Master,1
1341,8256,24.1,Male,25000.0,Yes,4.05,90.7,4,40.5,No,Yes,4.1,3.21,2.73,2.67,Year 4,Business,Bachelor,0
1342,9566,21.2,Female,64992.0,Yes,4.29,95.5,1,29.3,Yes,Yes,5.0,2.54,2.8,2.8,Year 1,CS,PhD,0
1343,806,20.3,Male,29081.0,No,5.78,84.5,2,33.2,No,No,7.7,2.23,2.62,2.62,Year 1,Science,High School,0
1344,4635,19.5,Male,25000.0,No,4.59,79.1,2,23.8,Yes,No,5.6,2.25,2.37,2.4,Year 4,CS,High School,0
1345,5248,17.6,Male,25000.0,Yes,4.39,75.4,2,29.0,Yes,No,4.6,3.69,4.0,3.95,Year 4,Science,Master,0
1346,5567,23.4,Male,48341.0,Yes,3.6,87.8,5,33.1,Yes,No,5.6,1.77,1.49,1.47,Year 3,Science,Bachelor,1
1347,5740,21.2,Female,25000.0,Yes,4.62,81.0,1,56.3,Yes,No,3.5,3.71,4.0,4.0,Year 1,Business,Master,0
1348,5144,20.1,Male,25000.0,Yes,4.25,78.4,1,27.1,No,No,4.3,2.8,2.52,2.55,Year 4,CS,High School,0
1349,8266,20.6,Female,25000.0,Yes,6.21,100.0,0,33.9,No,No,7.1,2.49,2.25,2.29,Year 3,Arts,Master,0
1350,4460,22.5,Male,33396.0,Yes,3.28,67.0,3,42.2,Yes,Yes,4.9,1.14,1.65,1.59,Year 3,CS,Unknown,1
1352,6946,23.4,Male,46684.0,No,3.45,91.0,1,39.5,No,No,5.3,3.39,3.08,3.08,Year 1,Arts,Master,0
1353,5741,21.7,Male,25000.0,Yes,5.15,93.1,2,23.9,No,Yes,6.1,1.68,1.34,1.29,Year 4,Arts,Master,0
1354,5326,21.0,Female,45994.0,Yes,2.82,79.8,0,32.9,No,No,6.9,2.59,2.97,3.0,Year 3,Engineering,Bachelor,0
1356,3023,20.1,Male,25000.0,Yes,6.23,84.7,0,45.3,No,Yes,5.2,3.68,3.43,3.34,Year 4,Science,Unknown,0
1357,5762,22.1,Male,25082.0,Yes,4.33,88.8,1,22.3,No,Yes,5.5,4.0,4.0,4.0,Year 1,Science,Bachelor,0
1358,4032,17.9,Male,30651.0,Yes,2.7,80.9,3,5.0,No,No,8.1,1.91,1.93,1.98,Year 4,CS,High School,0
1359,27,18.5,Female,25000.0,Yes,5.22,89.4,0,29.4,No,No,4.7,1.66,1.77,1.67,Year 3,Science,Bachelor,0
1360,4953,22.7,Male,25000.0,Yes,3.68,97.5,0,19.2,No,No,6.4,2.99,3.4,3.33,Year 4,CS,High School,0
1361,5153,22.1,Female,41995.0,Yes,6.13,89.5,0,21.4,No,No,6.8,1.61,1.52,1.52,Year 1,Science,Bachelor,0
1362,2509,18.0,Male,25000.0,Yes,3.54,78.2,1,56.0,No,Yes,5.9,0.53,0.44,0.5,Year 3,Business,Master,1
1364,2583,20.9,Male,72817.0,Yes,3.76,86.3,2,36.7,No,No,3.2,1.17,1.0,1.0,Year 1,CS,High School,0
1365,1303,20.6,Male,25000.0,Yes,4.12,77.1,2,29.3,Yes,No,4.7,3.49,3.63,3.61,Year 3,Arts,Unknown,0
1366,5813,21.5,Male,25000.0,Yes,4.52,89.6,4,44.5,No,No,5.4,2.41,2.3,2.32,Year 4,CS,High School,0
1367,7350,24.1,Female,52423.0,Yes,3.93,93.4,2,40.0,No,Yes,4.1,3.13,3.34,3.4,Year 2,Business,High School,0
1368,5282,22.4,Male,25857.0,Yes,4.64,87.8,1,32.3,No,Yes,4.3,3.14,2.73,2.76,Year 2,Arts,Master,0
1369,6115,20.5,Male,35908.0,Yes,3.4,83.7,1,26.7,Yes,No,7.2,0.69,0.58,0.56,Year 3,CS,Unknown,0
1370,1222,21.7,Female,35275.0,Yes,4.2,85.9,3,53.7,No,No,4.2,2.65,2.63,2.68,Year 3,Business,Bachelor,1
1371,7436,21.6,Male,35681.0,Yes,1.31,78.5,2,15.1,Yes,Yes,4.8,2.42,2.49,2.45,Year 2,Science,Bachelor,0
1372,2549,23.2,Female,25000.0,Yes,4.04,74.9,2,33.7,No,Yes,5.2,2.32,1.41,1.39,Year 2,CS,Bachelor,0
1373,751,19.0,Female,29467.0,Yes,3.95,79.1,0,36.5,No,Yes,3.3,1.61,2.02,2.0,Year 3,Arts,High School,0
1374,438,18.0,Female,33401.0,Yes,7.12,76.3,2,33.2,No,Yes,6.7,0.64,0.43,0.43,Year 1,CS,Bachelor,1
1375,4372,19.8,Female,25000.0,Yes,3.29,78.8,2,48.2,Yes,No,8.0,3.43,3.71,3.64,Year 4,CS,Bachelor,0
1376,4449,22.1,Male,25000.0,Yes,3.82,81.2,3,13.0,No,Yes,7.6,0.55,0.3,0.3,Year 1,Arts,Master,0
1377,2848,19.2,Male,25000.0,Yes,1.55,78.3,5,20.0,No,No,6.1,2.2,2.39,2.39,Year 1,Arts,Bachelor,0
1378,1174,20.9,Female,25000.0,Yes,2.68,75.2,2,34.2,No,No,8.2,1.61,2.0,1.95,Year 2,Arts,Master,0
1379,7496,19.9,Female,40093.0,Yes,2.72,90.3,1,26.6,No,No,3.5,2.95,2.93,2.9,Year 2,Engineering,Bachelor,0
1380,2700,23.9,Male,30790.0,Yes,3.93,92.3,1,28.0,No,No,4.5,2.04,2.13,2.21,Year 2,Business,Master,1
1381,9889,21.6,Male,25000.0,Yes,3.52,72.4,3,37.1,No,No,3.5,3.1,2.81,2.86,Year 4,Business,PhD,0
1382,9507,20.7,Female,25000.0,No,4.74,77.6,3,41.0,No,No,5.3,1.73,1.87,1.89,Year 2,Arts,Bachelor,0
1383,6396,22.8,Male,25000.0,Yes,1.63,92.8,1,40.6,No,Yes,8.8,1.55,1.57,1.57,Year 1,Arts,Bachelor,0
1385,5457,19.6,Male,25000.0,Yes,4.56,72.8,4,37.8,No,No,7.8,1.67,1.94,1.9,Year 4,Arts,Bachelor,0
1386,8445,21.4,Female,31478.0,Yes,3.82,88.5,2,7.4,Yes,Yes,3.0,2.49,2.37,2.37,Year 1,Science,Master,0
1387,2707,21.3,Male,48630.0,No,4.5,69.6,0,42.0,No,No,6.1,3.24,3.83,3.83,Year 1,Business,High School,1
1388,4662,20.4,Male,25000.0,Yes,4.85,70.3,3,7.2,No,No,2.5,3.59,3.98,3.97,Year 4,CS,Master,0
1391,2638,23.1,Male,25000.0,Yes,3.06,75.7,1,30.7,No,Yes,2.3,3.34,3.31,3.34,Year 4,CS,High School,0
1393,2500,21.7,Male,25000.0,Yes,2.72,83.7,0,26.6,No,No,6.5,0.0,0.39,0.34,Year 2,Engineering,Master,0
1394,1005,22.5,Male,25000.0,Yes,3.32,78.2,1,35.4,No,No,4.0,2.94,2.96,2.96,Year 1,Engineering,High School,0
1395,2862,22.1,Female,25030.0,Yes,4.7,90.3,1,31.3,No,Yes,4.4,3.34,3.01,2.95,Year 3,CS,Bachelor,0
1396,3234,25.2,Male,25000.0,No,3.81,65.1,4,10.9,Yes,No,2.0,4.0,4.0,4.0,Year 1,Engineering,Bachelor,0
1397,1871,18.6,Female,27483.0,No,3.36,84.7,4,35.8,Yes,No,5.4,0.31,0.14,0.14,Year 1,CS,Master,1
1398,4246,17.6,Male,49926.0,Yes,3.87,74.5,0,31.0,No,Yes,7.5,0.34,0.0,0.0,Year 2,Science,High School,0
1399,6928,18.5,Male,39147.0,Yes,1.38,80.0,0,41.4,Yes,Yes,5.5,3.09,3.13,3.15,Year 3,Business,High School,0
1400,8386,17.8,Male,33060.0,Yes,5.36,76.0,3,36.9,Yes,No,1.0,3.75,3.12,3.12,Year 1,Science,Bachelor,0
1401,535,19.6,Female,25725.0,Yes,5.09,88.9,3,33.6,Yes,No,7.7,2.07,1.87,1.93,Year 3,CS,High School,1
1402,9828,19.7,Female,25000.0,Yes,6.47,64.3,1,26.9,No,Yes,4.3,2.5,2.65,2.65,Year 1,Science,Bachelor,0
1403,7149,24.0,Female,25000.0,Yes,5.4,77.9,3,28.6,Yes,No,6.4,1.43,1.85,1.77,Year 3,Engineering,High School,1
1404,7366,22.7,Male,45261.0,No,3.43,71.9,1,17.7,No,No,8.1,2.02,1.89,1.89,Year 1,CS,Master,0
1405,586,21.5,Male,25000.0,No,5.34,71.8,1,19.3,No,Yes,5.6,2.29,2.02,2.02,Year 1,CS,Bachelor,1
1406,9915,22.4,Male,36513.0,Yes,2.37,83.7,3,39.3,Yes,Yes,5.3,3.13,2.97,2.97,Year 1,Arts,Bachelor,1
1407,3036,22.0,Male,25000.0,Yes,1.87,74.2,3,26.6,Yes,Yes,5.9,1.92,2.0,2.1,Year 2,Business,High School,0
1408,4429,21.2,Female,41830.0,Yes,4.11,79.7,1,34.1,No,No,2.1,4.0,3.25,3.25,Year 1,Science,Master,0
1409,4090,20.1,Female,27897.0,Yes,3.83,95.1,1,5.0,No,No,3.9,3.09,3.04,3.08,Year 2,Arts,PhD,0
1410,1704,23.4,Female,30703.0,Yes,6.32,82.9,2,30.6,No,No,1.7,3.93,4.0,4.0,Year 1,Science,Bachelor,0
1411,4296,17.6,Female,37219.0,Yes,3.86,77.3,0,32.3,Yes,No,6.4,1.73,2.41,2.46,Year 3,Science,High School,1
1412,5720,17.0,Male,25000.0,Yes,3.0,100.0,0,43.0,No,Yes,6.1,2.76,2.41,2.41,Year 1,Engineering,Master,0
1413,492,24.3,Male,25000.0,Yes,5.41,92.8,0,59.6,No,No,7.2,2.39,2.37,2.36,Year 4,Business,Bachelor,0
1414,6900,17.8,Female,25000.0,Yes,3.05,71.7,2,43.8,Yes,Yes,4.2,2.82,2.36,2.36,Year 1,Engineering,Bachelor,0
1415,4354,17.3,Male,25000.0,Yes,3.25,71.6,2,31.2,No,No,6.1,1.93,2.25,2.34,Year 3,CS,Bachelor,1
1416,2837,25.2,Female,27310.0,Yes,5.12,91.0,2,34.4,Yes,No,5.2,3.58,4.0,3.99,Year 3,Engineering,High School,0
1417,2267,17.1,Male,25000.0,Yes,6.07,80.1,1,19.3,No,No,5.5,0.6,0.04,0.0,Year 3,Arts,Master,0
1418,7719,20.3,Female,35669.0,Yes,3.99,82.5,0,47.7,Yes,Yes,10.0,2.03,1.44,1.39,Year 2,Engineering,High School,1
1419,9524,25.8,Male,29806.0,Yes,4.55,78.5,1,45.6,Yes,No,5.3,0.77,0.87,0.85,Year 2,Arts,Bachelor,0
1420,8023,17.0,Male,33315.0,Yes,6.52,81.8,4,41.5,Yes,No,3.9,2.98,3.16,3.11,Year 4,Arts,Bachelor,0
1421,4708,19.9,Female,25000.0,Yes,3.08,70.6,0,42.4,No,No,3.1,1.66,1.65,1.62,Year 2,CS,High School,0
1422,9844,18.2,Male,25000.0,No,1.67,90.3,0,7.7,No,No,7.4,2.16,2.57,2.57,Year 1,Science,Bachelor,0
1423,2901,20.9,Male,25000.0,No,5.05,85.8,1,23.7,No,No,1.0,4.0,4.0,4.0,Year 1,Engineering,PhD,0
1424,9619,23.3,Female,42562.0,Yes,5.01,64.1,1,9.6,No,No,4.5,1.56,1.64,1.64,Year 1,Science,Bachelor,0
1425,2945,21.7,Male,25000.0,Yes,3.28,81.2,3,30.3,Yes,No,4.5,1.2,1.54,1.53,Year 2,Business,Master,0
1426,1917,19.3,Female,27474.0,No,4.24,72.6,1,33.5,Yes,No,4.7,0.81,1.06,1.06,Year 3,Business,Bachelor,1
1427,3186,23.9,Female,29379.0,Yes,4.34,84.3,1,26.2,Yes,No,6.2,2.27,1.7,1.74,Year 3,Engineering,PhD,0
1428,8627,20.3,Female,25000.0,Yes,4.35,88.3,3,32.5,Yes,Yes,7.3,3.22,3.23,3.23,Year 1,Engineering,High School,0
1429,9435,24.4,Male,25000.0,Yes,4.49,86.2,1,23.4,No,No,5.2,2.04,2.02,1.95,Year 2,Engineering,Master,0
1430,7256,25.0,Female,25000.0,Yes,4.15,69.9,3,36.9,Yes,No,4.8,3.8,3.61,3.57,Year 2,CS,Bachelor,0
1431,4247,21.4,Male,25000.0,Yes,4.08,69.2,1,34.9,Yes,Yes,4.9,2.18,2.38,2.49,Year 2,Engineering,High School,0
1432,8616,18.8,Female,25000.0,Yes,3.08,84.9,0,19.4,Yes,No,5.8,0.77,1.19,1.19,Year 1,Science,Unknown,0
1433,5147,20.7,Female,25251.0,No,5.48,84.5,0,37.9,Yes,No,5.6,1.8,2.28,2.28,Year 1,Engineering,Master,0
1434,8566,21.0,Female,25000.0,Yes,2.54,71.7,3,45.3,Yes,No,6.1,1.72,1.38,1.4,Year 4,Engineering,High School,1
1435,2519,20.5,Male,41615.0,Yes,1.75,89.8,4,37.5,No,No,6.1,1.68,1.7,1.68,Year 3,Science,High School,0
1436,398,24.0,Female,39107.0,Yes,4.18,73.8,3,28.9,Yes,No,6.1,1.97,2.42,2.35,Year 4,CS,Bachelor,0
1437,1318,20.3,Male,25000.0,Yes,4.36,88.4,0,8.0,Yes,Yes,5.9,2.76,2.46,2.46,Year 1,Science,Bachelor,0
1438,4561,18.6,Female,25000.0,Yes,3.72,80.9,1,22.7,Yes,Yes,3.5,2.9,2.89,2.91,Year 4,Business,Bachelor,0
1439,122,19.0,Male,41649.0,Yes,3.54,84.3,4,44.8,No,No,7.2,2.54,2.61,2.67,Year 2,Engineering,Unknown,1
1440,2450,19.5,Female,36420.0,Yes,3.67,82.8,3,34.6,Yes,Yes,5.7,1.18,0.8,0.8,Year 1,Arts,Bachelor,1
1441,8856,19.5,Male,25000.0,Yes,2.73,91.2,1,29.8,No,Yes,7.8,2.34,2.12,2.17,Year 4,Arts,Bachelor,1
1442,8109,23.4,Male,41528.0,Yes,1.65,81.0,4,37.4,No,Yes,6.5,1.75,2.12,2.12,Year 1,CS,Master,1
1443,1567,21.1,Female,27802.0,Yes,3.91,67.6,3,41.9,Yes,No,5.0,0.0,0.0,0.06,Year 4,Engineering,Bachelor,0
1445,4334,21.4,Female,25000.0,No,2.11,71.0,0,25.5,No,No,6.5,2.46,2.75,2.81,Year 2,Science,Master,1
1446,7911,21.7,Male,33344.0,Yes,3.8,76.4,3,36.8,Yes,Yes,2.5,2.41,2.39,2.39,Year 1,CS,Unknown,0
1447,9287,21.9,Female,25000.0,Yes,4.49,92.2,1,31.7,Yes,No,3.9,3.2,2.77,2.78,Year 2,CS,Bachelor,0
1448,3919,23.1,Male,47488.0,Yes,3.89,76.6,1,29.6,No,No,5.7,2.47,2.68,2.61,Year 2,Science,Bachelor,0
1449,2174,21.3,Male,25000.0,Yes,4.22,85.1,2,36.4,No,No,5.3,4.0,4.0,4.0,Year 1,Engineering,High School,0
1451,8496,22.6,Male,25000.0,No,3.55,84.5,2,47.0,No,Yes,10.0,1.55,1.97,2.04,Year 3,Business,Bachelor,0
1452,8585,20.4,Male,25000.0,Yes,5.78,76.2,2,14.9,No,No,5.5,4.0,3.93,3.85,Year 4,Arts,Unknown,0
1453,2334,20.2,Female,25000.0,Yes,4.64,81.3,2,28.8,No,No,7.1,0.6,0.48,0.49,Year 2,Arts,Bachelor,1
1454,574,20.5,Male,32828.0,Yes,4.0,74.3,0,37.4,No,Yes,3.1,2.0,1.94,1.94,Year 1,Business,Master,0
1455,3661,20.2,Female,25000.0,Yes,1.43,83.6,1,26.2,Yes,No,7.7,0.0,0.31,0.28,Year 4,Engineering,Master,1
1456,9076,24.4,Female,63532.0,Yes,4.56,75.3,3,27.6,No,Yes,7.5,0.07,0.0,0.0,Year 2,Arts,Master,1
1457,982,21.9,Female,25000.0,Yes,3.29,79.0,1,26.8,No,Yes,6.5,1.25,1.52,1.54,Year 4,Science,Bachelor,1
1458,9371,17.7,Male,27533.0,No,2.9,81.9,2,34.7,No,Yes,2.4,2.58,2.87,2.85,Year 4,Arts,Bachelor,0
1459,1408,24.3,Female,50056.0,Yes,3.32,71.6,2,41.2,Yes,No,6.6,0.4,0.04,0.05,Year 2,CS,Bachelor,0
1460,536,21.1,Female,25000.0,Yes,6.14,81.8,2,37.0,No,No,5.8,2.56,3.0,3.01,Year 2,Engineering,High School,1
1461,4316,23.2,Female,25000.0,Yes,3.47,82.0,3,24.6,No,No,5.0,1.7,1.52,1.59,Year 3,Science,Bachelor,0
1463,8623,20.4,Female,25000.0,Yes,3.33,90.8,1,28.5,No,No,3.8,2.81,2.77,2.67,Year 4,CS,Bachelor,0
1464,8759,21.4,Male,25000.0,Yes,3.6,79.3,0,31.2,No,No,5.8,2.36,1.75,1.75,Year 1,Arts,PhD,0
1465,1435,20.6,Male,31841.0,Yes,3.82,80.2,0,27.8,Yes,No,4.9,2.7,2.93,2.96,Year 2,Arts,Master,0
1466,6995,19.6,Male,56190.0,Yes,4.68,76.0,3,35.1,No,Yes,6.7,3.25,3.16,3.07,Year 2,CS,Bachelor,0
1467,2580,24.9,Male,61281.0,Yes,3.04,78.0,2,36.3,No,Yes,5.1,2.33,2.27,2.27,Year 1,Arts,Unknown,1
1468,9404,20.5,Female,36768.0,Yes,5.74,71.0,1,20.8,Yes,No,4.6,1.92,1.55,1.55,Year 4,CS,High School,0
1469,3270,22.4,Male,29127.0,Yes,3.66,85.4,1,20.8,No,Yes,1.8,3.39,3.02,3.02,Year 3,Engineering,Bachelor,0
1470,9554,20.5,Female,33012.0,No,4.66,84.5,3,18.2,Yes,No,5.0,3.46,3.74,3.74,Year 1,Science,Bachelor,0
1471,3839,18.9,Female,25000.0,Yes,5.96,78.8,2,23.9,Yes,No,5.7,3.51,3.19,3.19,Year 1,Arts,High School,0
1473,1455,22.2,Female,25000.0,Yes,2.87,84.9,2,48.2,No,No,5.2,0.38,0.1,0.03,Year 4,CS,High School,1
1474,1787,20.3,Male,27012.0,Yes,1.27,91.3,1,45.5,Yes,No,5.3,1.17,0.98,1.01,Year 2,CS,High School,0
1475,9913,19.4,Female,53887.0,No,8.28,75.5,1,32.8,No,Yes,5.2,2.86,2.75,2.68,Year 2,CS,Bachelor,0
1476,7096,17.2,Male,25000.0,Yes,4.11,87.2,3,39.7,Yes,Yes,2.4,3.16,2.91,2.91,Year 1,Engineering,Bachelor,0
1477,2522,27.6,Female,69050.0,Yes,3.65,81.7,3,31.1,Yes,No,5.4,2.82,2.91,2.95,Year 3,Engineering,PhD,0
1478,4440,22.1,Female,31466.0,Yes,5.29,88.9,2,37.8,No,No,3.6,4.0,3.83,3.8,Year 4,Arts,Master,0
1479,1821,20.7,Male,29203.0,Yes,3.97,84.9,2,19.1,No,No,6.0,2.41,1.51,1.54,Year 3,Arts,Master,0
1480,5616,17.0,Male,52164.0,Yes,2.42,86.8,2,41.1,No,No,9.7,3.03,3.18,3.14,Year 3,Arts,High School,0
1481,2930,23.2,Female,25000.0,Yes,3.99,86.4,4,67.5,Yes,Yes,7.3,2.09,2.43,2.5,Year 2,Science,Master,0
1482,52,20.2,Male,26368.0,Yes,6.52,86.2,1,23.3,No,No,6.4,2.89,2.7,2.65,Year 3,Business,Bachelor,0
1483,4727,21.5,Male,25000.0,Yes,2.02,75.6,0,32.2,No,No,6.0,2.33,2.52,2.46,Year 3,Arts,High School,0
1484,5717,22.0,Male,37048.0,Yes,6.05,92.5,1,21.1,No,Yes,1.1,4.0,2.95,2.96,Year 4,Science,Bachelor,0
1485,5466,21.0,Male,25715.0,Yes,3.22,96.2,1,54.3,Yes,Yes,1.7,3.56,3.4,3.4,Year 1,CS,Master,0
1486,470,19.7,Male,25000.0,No,3.49,86.6,3,46.0,No,No,3.9,2.02,2.3,2.38,Year 4,Business,Bachelor,0
1487,2630,19.9,Male,32568.0,Yes,2.43,87.7,1,27.8,Yes,No,8.7,2.58,2.48,2.48,Year 1,CS,High School,0
1488,6514,20.3,Male,27749.0,Yes,4.17,63.7,2,43.0,No,No,6.9,1.32,0.94,0.94,Year 1,Business,High School,1
1489,7468,20.2,Male,28398.0,No,4.56,82.6,1,27.9,Yes,Yes,5.4,1.61,1.59,1.55,Year 3,Arts,Bachelor,0
1490,3946,23.0,Male,33110.0,Yes,4.4,84.5,2,25.0,Yes,Yes,6.4,3.85,3.44,3.39,Year 2,Business,Bachelor,0
1491,6205,18.4,Female,44629.0,Yes,4.65,88.7,0,34.1,No,No,7.0,1.88,1.99,2.05,Year 2,Arts,High School,0
1493,1859,21.6,Male,25000.0,Yes,5.91,77.3,2,27.9,No,Yes,3.3,3.4,4.0,4.0,Year 2,Arts,Master,0
1494,9533,17.6,Male,25000.0,Yes,2.94,64.4,1,15.8,No,No,6.6,0.85,1.23,1.2,Year 3,Business,High School,0
1495,866,20.1,Male,45338.0,Yes,3.28,87.5,0,19.7,No,No,4.2,2.66,2.32,2.32,Year 2,Business,Bachelor,0
1496,6391,17.0,Male,42452.0,Yes,3.88,62.6,0,20.5,Yes,No,6.4,1.99,1.73,1.68,Year 3,Science,Bachelor,0
1497,7213,18.2,Female,28971.0,Yes,2.84,74.9,3,23.4,Yes,No,6.0,1.82,1.69,1.67,Year 4,Science,High School,1
1498,4922,21.7,Female,64674.0,Yes,3.33,77.3,3,23.7,No,No,4.2,4.0,3.9,3.86,Year 4,Science,High School,0
1499,8102,19.5,Male,30119.0,Yes,3.33,68.4,1,23.1,No,No,3.2,2.19,2.37,2.33,Year 2,Business,Bachelor,0
1500,4793,20.7,Male,25000.0,No,6.04,85.8,2,28.9,No,No,4.3,1.39,1.81,1.83,Year 3,CS,Master,0
1501,8855,20.7,Male,25000.0,Yes,4.17,68.7,2,35.7,No,No,5.6,1.11,0.59,0.74,Year 3,Arts,Master,1
1503,5937,23.7,Male,36894.0,Yes,2.31,81.3,3,17.8,No,Yes,4.3,3.29,3.31,3.34,Year 3,Business,Bachelor,0
1504,426,24.0,Male,25000.0,Yes,5.16,84.3,1,33.2,No,Yes,6.5,3.11,3.27,3.31,Year 2,Engineering,Master,0
1505,189,19.1,Female,46618.0,Yes,4.37,70.6,2,38.3,No,Yes,3.7,4.0,3.93,4.0,Year 2,Arts,Bachelor,0
1506,5630,21.8,Female,32146.0,Yes,3.92,79.6,0,31.0,No,No,6.4,2.4,2.6,2.55,Year 2,Engineering,High School,1
1507,4360,22.5,Female,25000.0,Yes,1.35,81.1,0,39.1,Yes,No,10.0,0.5,0.24,0.27,Year 4,Engineering,Bachelor,1
1508,229,19.4,Male,25999.0,Yes,5.08,74.6,0,21.5,No,No,2.7,4.0,3.81,3.86,Year 2,Business,High School,0
1510,7678,17.0,Female,25000.0,Yes,3.67,86.3,2,55.4,No,No,5.1,2.14,2.41,2.41,Year 1,Arts,Bachelor,0
1511,2742,22.0,Male,35880.0,Yes,3.89,88.8,1,22.5,No,No,6.5,1.75,1.72,1.67,Year 2,Science,High School,1
1512,1042,20.0,Female,43259.0,Yes,2.62,75.1,1,25.2,No,No,7.8,2.4,2.58,2.65,Year 4,CS,High School,0
1513,4076,21.2,Female,25528.0,Yes,3.87,88.1,5,24.0,Yes,No,6.4,1.75,1.95,1.99,Year 3,Arts,High School,1
1514,9141,21.0,Male,25000.0,Yes,4.5,75.2,4,43.0,Yes,No,3.8,4.0,3.42,3.42,Year 1,Science,High School,0
1515,6119,22.2,Male,25000.0,Yes,6.2,83.9,2,45.2,Yes,No,4.8,0.94,0.86,0.89,Year 2,Science,High School,1
1516,6903,21.9,Male,27079.0,Yes,4.36,99.1,4,28.4,Yes,Yes,5.6,3.06,3.26,3.26,Year 1,Engineering,High School,0
1517,472,17.0,Male,25000.0,Yes,3.42,77.7,0,17.4,No,Yes,5.1,2.04,2.08,2.1,Year 2,Engineering,Master,0
1518,2922,22.6,Male,25000.0,Yes,1.86,76.2,2,33.7,No,No,8.8,1.17,1.19,1.19,Year 1,CS,Master,1
1519,1906,22.0,Female,32780.0,Yes,2.42,76.0,1,20.0,No,No,5.5,0.98,0.92,0.86,Year 2,Engineering,Bachelor,0
1520,8877,20.4,Female,51304.0,Yes,4.59,87.1,3,8.8,No,Yes,5.5,3.12,2.82,2.9,Year 2,Arts,High School,0
1521,802,19.9,Male,36480.0,No,4.44,75.7,2,36.3,No,No,7.0,2.75,2.26,2.36,Year 2,CS,High School,1
1522,1488,17.1,Female,26161.0,No,4.75,75.2,1,31.3,Yes,Yes,6.6,3.36,3.12,3.08,Year 4,Business,Master,0
1523,8442,24.1,Female,25031.0,Yes,0.5,70.4,1,30.6,Yes,No,4.6,0.58,0.48,0.48,Year 3,Engineering,Bachelor,1
1524,228,18.6,Male,64566.0,Yes,4.65,79.4,1,49.9,No,Yes,7.9,3.76,3.78,3.86,Year 4,Science,Bachelor,0
1525,7891,21.4,Male,25000.0,No,2.4,79.5,2,47.6,No,No,4.0,2.97,3.06,3.06,Year 1,CS,Master,0
1526,1129,20.9,Female,29814.0,Yes,2.74,88.3,1,44.5,No,No,3.1,2.27,2.04,2.03,Year 3,Engineering,Bachelor,0
1527,5071,18.4,Male,28133.0,Yes,4.36,74.9,1,30.0,No,No,5.9,2.42,2.2,2.28,Year 3,Business,High School,0
